lead_days,forecast_p,observed_freq,n
1,0.0,0.06429548563611491,731
1,0.111,0.17777777777777778,180
1,0.222,0.1951219512195122,82
1,0.333,0.11009174311926606,109
1,0.444,0.38095238095238093,63
1,0.556,0.4645669291338583,127
1,0.667,0.8843283582089553,268
1,0.778,0.7901234567901234,162
1,0.889,0.9341317365269461,167
1,1.0,1.0,79
3,0.0,0.008025682182985553,623
3,0.111,0.13157894736842105,190
3,0.222,0.564935064935065,154
3,0.333,0.27,100
3,0.444,0.3146067415730337,89
3,0.556,0.3333333333333333,129
3,0.667,0.8245614035087719,342
3,0.778,0.7788944723618091,199
3,0.889,0.9682539682539683,126
3,1.0,1.0,16
5,0.0,0.008016032064128256,499
5,0.111,0.11650485436893204,412
5,0.222,0.34579439252336447,214
5,0.333,0.5660377358490566,212
5,0.444,0.676923076923077,130
5,0.556,0.8339483394833949,271
5,0.667,1.0,71
5,0.778,1.0,90
5,0.889,1.0,69
