date,model_max,model_typical,n_orange_plus,n_red,mri_min,mri_max,model_typical_level,station_tmax,hap_level,imd_red
2024-05-01,green,10.755239838993493,0,0,9.198997790392456,11.754289434202175,green,39.0,green,False
2024-05-02,green,22.63524899010843,0,0,20.296161249424955,24.496480403972186,green,40.0,green,False
2024-05-03,green,33.64625096965982,0,0,30.394610538485207,36.39238316156095,green,41.0,green,False
2024-05-04,yellow,43.71538281320851,0,0,39.53265221878906,47.35381018838012,yellow,40.6,green,False
2024-05-05,green,32.075552929007344,0,0,28.871260467297212,34.90401172167842,green,39.0,green,False
2024-05-06,green,34.788802044776844,0,0,31.44159205249357,37.629754300795604,green,40.6,green,False
2024-05-07,orange,61.102554174672164,35,0,55.57621351051936,66.23553144252335,orange,42.4,yellow,False
2024-05-08,yellow,52.3849432069276,0,0,47.403312052151854,56.68898015384816,yellow,42.6,yellow,False
2024-05-09,yellow,51.9704384977071,0,0,47.09054772802938,56.177740469928125,yellow,42.0,yellow,False
2024-05-10,yellow,53.79707714045529,0,0,48.63607288693414,58.26383789325167,yellow,40.6,green,False
2024-05-11,yellow,52.62321309661486,0,0,47.67712119681989,56.89783972824781,yellow,41.0,green,False
2024-05-12,orange,56.66902358119607,4,0,51.47016145855842,61.097997630809495,yellow,41.6,yellow,False
2024-05-13,yellow,41.94040615311292,0,0,37.74606330154855,45.55856506802141,yellow,41.4,yellow,False
2024-05-14,green,33.149487074096044,0,0,30.000513228983014,35.87382036299993,green,37.0,green,False
2024-05-15,green,36.08434981612295,0,0,32.647938361669034,39.046027593779584,green,39.4,green,False
2024-05-16,yellow,55.40353391914533,0,0,50.216244466495404,59.84312443975335,yellow,43.0,yellow,False
2024-05-17,orange,70.47681435495238,48,0,64.14757368294745,75.92119673347618,orange,43.6,orange,False
2024-05-18,orange,69.19706501245248,48,0,62.976745840101636,74.53575930958343,orange,44.0,orange,False
2024-05-19,orange,69.40970675026247,48,0,63.291345783120065,75.27303692689352,orange,44.4,orange,False
2024-05-20,orange,65.50305357537513,46,0,59.750721176748236,71.04540227937011,orange,44.0,orange,True
2024-05-21,orange,72.05039569047918,48,0,65.40022745517024,77.69219892874754,orange,44.4,orange,True
2024-05-22,red,84.53416461813228,48,42,77.12363150696105,91.02224761846394,red,45.4,red,True
2024-05-23,red,85.65206285929435,48,44,78.38086942030041,92.62531678383138,red,46.2,red,True
2024-05-24,red,87.0737769561348,48,46,79.29399879689592,93.76791716807323,red,45.4,red,True
2024-05-25,red,81.22106492792098,48,32,73.83410288124004,87.44331042134421,red,43.4,orange,False
2024-05-26,red,88.40868288517171,48,48,80.57958605304897,95.27851338643194,red,43.0,yellow,False
2024-05-27,red,85.5416105100598,48,43,77.86439327455568,92.09817315109989,red,45.0,red,False
2024-05-28,red,84.82189945862896,48,43,77.24307774390844,91.31501194448781,red,43.4,orange,False
2024-05-29,red,75.32375833518003,48,4,68.48556494605866,81.15483652057821,orange,41.4,yellow,False
2024-05-30,orange,60.26581052499098,28,0,54.59790866750153,65.13217286136154,orange,43.0,yellow,False
2024-05-31,yellow,52.98286784281149,0,0,47.90239202546002,57.38755075973457,yellow,42.4,yellow,False
2024-06-01,yellow,49.32793663740732,0,0,44.55684228105292,53.47696841198708,yellow,41.6,yellow,False
2024-06-02,yellow,52.18843443669805,0,0,47.16797827070157,56.54420629105443,yellow,41.4,yellow,False
2024-06-03,orange,63.21173354118528,41,0,57.49814819960529,68.10620589170735,orange,41.6,yellow,False
2024-06-04,yellow,54.187185736999595,0,0,49.15880072727691,58.47558873650445,yellow,41.4,yellow,False
2024-06-05,yellow,46.2968233656909,0,0,41.756122198404185,50.25871575970288,yellow,41.4,yellow,False
2024-06-06,yellow,54.9255075839814,0,0,49.6857907167945,59.461947194349264,yellow,41.6,yellow,False
2024-06-07,orange,58.787282404671714,15,0,53.34539152596286,63.446157485372716,yellow,42.4,yellow,False
2024-06-08,yellow,53.44718956530855,0,0,48.36936971758749,57.84625830791806,yellow,41.8,yellow,False
2024-06-09,orange,64.95543480030824,45,0,59.062621836485704,70.00640679082562,orange,43.0,yellow,False
2024-06-10,yellow,50.914280542655305,0,0,46.247901470786104,54.90136725999927,yellow,39.6,green,False
2024-06-11,yellow,48.00606576912935,0,0,43.49371978095414,51.91768683003773,yellow,40.2,green,False
2024-06-12,yellow,41.68755873256388,0,0,37.56238335981309,45.145663636708264,yellow,40.8,green,False
2024-06-13,yellow,38.1439052929002,0,0,34.340018638310596,41.44464255839192,green,41.2,yellow,False
2024-06-14,green,35.991665980705655,0,0,32.40435030762196,39.13033960928984,green,39.2,green,False
2024-06-15,green,34.54022359735302,0,0,30.98571976273665,37.579932503064136,green,39.8,green,False
