group,change,spearman,max_rank_move,mean_mri_change,red_ward_days,red_change
HTSI weight,utci ×0.8,0.9997828918801563,1,-4.276385737839265,195,-107
HTSI weight,utci ×1.2,0.9996743378202344,1,3.6513857378392665,350,48
HTSI weight,wbgt ×0.8,1.0,0,2.325419954516585,334,32
HTSI weight,wbgt ×1.2,0.9998914459400782,1,-2.117086621183236,268,-34
HTSI weight,heat_index ×0.8,0.9962006079027355,4,0.6192264628269623,307,5
HTSI weight,heat_index ×1.2,1.0,0,-0.3555388889499029,297,-5
PVI weight,elderly_share ×0.8,0.9991315675206253,2,-0.0002697512504707215,299,-3
PVI weight,elderly_share ×1.2,0.9995657837603126,1,0.0002697512504727939,305,3
PVI weight,outdoor_worker_share ×0.8,0.9996743378202344,1,-0.00020231343785474346,300,-2
PVI weight,outdoor_worker_share ×1.2,0.9997828918801563,1,0.00020231343785859224,305,3
PVI weight,healthcare_access_gap ×0.8,0.9888189318280504,5,0.0023217443225786263,299,-3
PVI weight,healthcare_access_gap ×1.2,0.9833912288319583,6,-0.0023217443225774423,302,0
PVI weight,cooling_access_gap ×0.8,0.9854537559704732,6,0.0023235619602841595,301,-1
PVI weight,cooling_access_gap ×1.2,0.9840425531914894,7,-0.002323561960282087,302,0
PVI weight,informal_housing_share ×0.8,0.9630916196265741,11,-0.0008141670638911099,306,4
PVI weight,informal_housing_share ×1.2,0.9772036474164134,9,0.0008141670639059129,294,-8
PVI weight,under5_share ×0.8,1.0,0,-8.991708349181948e-05,301,-1
PVI weight,under5_share ×1.2,0.9998914459400782,1,8.991708349359584e-05,304,2
PVI weight,population_density ×0.8,0.9802431610942249,7,-0.0033818267633085597,304,2
PVI weight,population_density ×1.2,0.9842596613113331,6,0.0033818267633115204,299,-3
HTSI extra,night points ×0.8,0.9975032566217976,3,-1.5077199795300122,281,-21
HTSI extra,night points ×1.2,0.9990230134607033,2,1.5077199795300134,318,16
HTSI extra,persistence points ×0.8,0.9998914459400782,1,-0.9583333333333339,268,-34
HTSI extra,persistence points ×1.2,1.0,0,0.9583333333333336,324,22
Downscaling,beta_night = 0.0,0.9634172818063396,12,0.04470558763795059,303,1
Downscaling,beta_night = 0.15,0.9892531480677377,6,0.029773019119570126,305,3
Downscaling,beta_night = 0.45,0.9926183239253147,5,-0.05424466307054191,302,0
Downscaling,beta_night = 0.6,0.9797003907946157,9,-0.11704735758897773,298,-4
Downscaling,beta_day = 0.3,0.7209075119409466,23,-0.006882242917464272,295,-7
Risk,vulnerability_spread = 0.2,0.9719930525401649,10,0.002023134378563126,322,20
Risk,vulnerability_spread = 0.3,0.9937038645245331,4,0.0010115671892805267,313,11
Risk,vulnerability_spread = 0.5,0.9964177160225792,3,-0.0010115671892814149,292,-10
Risk,vulnerability_spread = 0.6,0.9915327833260964,5,-0.0020231343785610534,286,-16
