sr,zone,area_name,ward_id_guess,name_and_address,type,lat,lon,source,coord_quality
1,West,AMBAWADI (GANDHIGRAM),AMC-18,AMBAWADI (GANDHIGRAM) OPP T D INTERNATIONAL BHUDARPURA ROAD AMBAWADI,urban_health_centre,23.0270914,72.5689228,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
2,North West,AMBLI AMBLI,AMC-19,"AMBLI AMBLI BRTS BUS STAND,B/H ISCON MANDIR,AMBLI GAM",urban_health_centre,23.0284711,72.5015992,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
3,East,AMRAIWADI AMRAIWADI,AMC-43,"AMRAIWADI AMRAIWADI UPHC, METRO PILLAR NO.40 NI SAME, MU GARDEN PASE, SWASTIK CHAR RASTA,AMRAIWADI",urban_health_centre,22.9989479,72.6251891,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
4,East,ARBUDANAGAR OPP,AMC-41,ARBUDANAGAR OPP KRISHNAWATERPARK NEAR PANCHALWADI VIRATNAGR ROAD AHMEDABAD,urban_health_centre,22.9906298,72.6657302,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_locality
5,Central,BHAIPURA BHAIPURA,AMC-43,"BHAIPURA BHAIPURA URBAN HEALTH CENTRE, OPP. EKTA APPARTMENT, NR. HATKESHWAR BUS DEPOT, CTM ROAD, HATKESHWAR, AHMEDABAD",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
6,North,BAPUNAGAR BAPUNAGAR,AMC-26,"BAPUNAGAR BAPUNAGAR UPHC, NEAR MARGHA FARM VIRATNAGAR CHAR RASTA ,BAPUNAGAR",urban_health_centre,23.0324369,72.6313566,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
7,North,GOMTIPUR GOMTIPUR,AMC-38,"GOMTIPUR GOMTIPUR CHC,OPP.DENA BANK, GOMTIPUR SHAK MARKET, GOMTIPUR DARVAJA, GOMTIPUR",urban_health_centre,23.01896745968778,72.61737078455107,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",ward_centroid
8,South,BEHRAMPURA BEHRAHPURA,AMC-35,"BEHRAMPURA BEHRAHPURA URBAN HEALTH CENTER ,NEAR BRTS BUS STAND ,DABAN GODAWN NI BAJUMA AHMEDABAD 380022",urban_health_centre,23.0035894,72.58384,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_ward_name
9,East,BHAIPURA BHAIPURA,AMC-43,"BHAIPURA BHAIPURA URBAN HEALTH CENTRE, OPP. EKTA APPARTMENT, NR. HATKESHWAR BUS DEPOT, CTM ROAD, HATKESHWAR, AHMEDABAD",urban_health_centre,,,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",not_found
10,North West,BODAKDEV BODAKDEV,AMC-19,BODAKDEV BODAKDEV URBAN HELTH CENTER NEAR PRAKESH ANDH KANYA PRAKASH SCHOOL MEMNAGAR AHMADABAD 380052,urban_health_centre,23.0341502,72.5128675,"AMC Urban Health Centers list (Nov 2024 copy, images.bhaskarassets.com); medical officer names/phones removed",nominatim_area
