ward_id,population,pop_60plus,pop_under5,lst_day,lst_night,ndvi,builtup_frac,tree_cover
AMC-01,97204.174,9176.9636,7646.465,47.6741,28.2371,0.2461,0.3327,0.1255
AMC-02,55645.1925,5253.8978,4377.3917,47.0923,28.8993,0.2114,0.41,0.1527
AMC-03,34262.902,3192.5243,2684.6995,47.4341,28.7563,0.1901,0.5737,0.0759
AMC-04,118350.4652,11159.8741,9306.5413,45.9756,29.1916,0.2192,0.6044,0.1767
AMC-05,101566.0483,9591.0093,7990.1487,47.0174,29.8271,0.166,0.7097,0.0973
AMC-06,80591.0999,7610.3186,6340.0603,45.7156,30.0797,0.1285,0.9454,0.0156
AMC-07,82180.0255,7760.3629,6465.0603,45.166,30.093,0.1109,0.97,0.0065
AMC-08,91368.0214,8617.1929,7185.1731,46.7894,28.2257,0.2679,0.3583,0.1981
AMC-09,142161.6892,13424.5066,11183.7868,45.4102,29.9829,0.1681,0.8577,0.0373
AMC-10,123730.5354,11684.0296,9733.8175,45.1171,29.9247,0.1653,0.7069,0.0799
AMC-11,119428.0374,11267.5522,9392.7944,47.0835,29.2234,0.2132,0.6211,0.1805
AMC-12,219834.1765,20754.2798,17293.0066,48.2433,28.883,0.1872,0.5995,0.0678
AMC-13,93297.5081,8810.2007,7339.6669,47.5106,30.104,0.1138,0.9655,0.0063
AMC-14,44288.6371,4182.2315,3484.1643,47.8577,29.9233,0.1092,0.9519,0.001
AMC-15,71567.2072,6758.1811,5630.1553,47.1495,29.8597,0.157,0.9299,0.0497
AMC-16,118751.2759,11213.8319,9342.1017,46.221,29.7138,0.2008,0.8209,0.1531
AMC-17,94731.0877,8945.5754,7452.4459,45.7199,29.7925,0.1788,0.7632,0.0598
AMC-18,332757.8418,31422.7403,26177.8879,44.2324,29.6926,0.2391,0.7624,0.1424
AMC-19,96380.7988,9101.3597,7582.2278,45.406,29.047,0.244,0.6325,0.1657
AMC-20,196066.1806,18514.7753,15424.4254,45.1709,29.0184,0.2589,0.6132,0.2206
AMC-21,52487.1297,4956.4255,4129.1355,47.5754,29.7343,0.1123,0.9917,0.0061
AMC-22,132101.6824,12474.5275,10392.3713,47.878,29.9566,0.1537,0.8651,0.0894
AMC-23,86371.6388,8156.1822,6794.8123,45.7151,30.2029,0.1038,0.9518,0.008
AMC-24,197020.9822,18604.9384,15499.5391,47.2732,29.0913,0.1381,0.7231,0.016
AMC-25,122341.7911,11552.8888,9624.5657,47.2783,30.0806,0.1103,0.9542,0.0082
AMC-26,86348.2212,8153.9708,6792.9701,46.2739,30.0337,0.1442,0.8933,0.0293
AMC-27,95179.4171,8987.9117,7487.7157,46.9874,29.736,0.1658,0.8924,0.0777
AMC-28,109152.6547,10307.4221,8586.9831,47.6254,29.622,0.1128,0.9774,0.0194
AMC-29,74334.4274,7019.4932,5847.8511,45.0486,29.6656,0.1562,0.7565,0.0516
AMC-30,155861.6893,14718.2148,12261.5588,44.0674,29.6132,0.158,0.8476,0.0248
AMC-31,105454.4565,9958.1966,8296.0478,45.114,29.1265,0.2034,0.6437,0.1062
AMC-32,87381.4704,8251.5418,6874.2553,45.3167,29.5485,0.1376,0.9742,0.0095
AMC-33,204879.9018,19347.0661,16117.7963,47.3086,27.9662,0.2433,0.386,0.1873
AMC-34,99176.841,9365.3935,7802.191,45.9575,26.9675,0.2853,0.2076,0.1654
AMC-35,155626.132,14695.9708,12243.0276,47.8708,28.6624,0.1811,0.6057,0.1131
AMC-36,90622.4307,8557.5898,7129.2199,47.3704,29.4831,0.1686,0.7379,0.069
AMC-37,146840.5976,13866.3418,11551.8741,45.3753,29.7151,0.1529,0.884,0.04
AMC-38,106554.9104,10062.1138,8382.6199,48.2283,29.7109,0.1535,0.8789,0.057
AMC-39,104793.4816,9895.7799,8244.0492,48.0377,29.8224,0.1508,0.9543,0.024
AMC-40,153945.7858,14537.2936,12110.8356,49.1166,29.6173,0.1221,0.9451,0.0101
AMC-41,80516.4022,7603.2648,6334.1839,48.0422,28.346,0.1905,0.4907,0.055
AMC-42,101335.5842,9569.2463,7972.0182,47.7169,29.6326,0.098,0.9669,0.0015
AMC-43,63424.0927,5989.2166,4989.5407,46.7873,29.7341,0.0871,0.9912,0.0
AMC-44,121472.6437,11470.8141,9556.1903,46.8214,29.8022,0.1481,0.9207,0.0365
AMC-45,124864.523,11791.1135,9823.0277,46.6015,29.4774,0.0988,0.9777,0.0024
AMC-46,238478.8415,22519.8561,18761.0076,48.1754,27.3505,0.2296,0.3164,0.1091
AMC-47,99967.5234,9440.0586,7864.3935,47.3509,27.9658,0.199,0.5249,0.0501
AMC-48,201945.4318,19069.9604,15886.9431,48.598,27.7666,0.229,0.4672,0.1215
