ward_id,slum_settlements,slum_huts,slum_pop_est
AMC-01,2.0,1276.0,5707.0
AMC-02,6.0,1002.0,4482.0
AMC-03,1.0,233.0,1042.0
AMC-04,43.0,7599.0,33988.0
AMC-05,12.0,3157.0,14120.0
AMC-06,16.0,10986.0,49138.0
AMC-07,5.0,1325.0,5926.0
AMC-08,2.0,1338.0,5985.0
AMC-09,1.0,1311.0,5864.0
AMC-10,19.0,5065.0,22654.0
AMC-11,6.0,1518.0,6790.0
AMC-12,13.0,4268.0,19090.0
AMC-13,6.0,861.0,3851.0
AMC-14,1.0,20.0,89.0
AMC-15,40.0,5364.0,23992.0
AMC-16,38.0,4594.0,20548.0
AMC-17,58.0,10547.0,47174.0
AMC-18,23.0,6866.0,30710.0
AMC-19,5.0,4054.0,18132.0
AMC-20,5.0,2358.0,10547.0
AMC-21,4.0,453.0,2026.0
AMC-22,26.0,3440.0,15386.0
AMC-23,2.0,1341.0,5998.0
AMC-24,3.0,1158.0,5179.0
AMC-26,1.0,60.0,268.0
AMC-27,16.0,1905.0,8521.0
AMC-28,19.0,2514.0,11244.0
AMC-29,29.0,5130.0,22945.0
AMC-30,16.0,1999.0,8941.0
AMC-31,16.0,8121.0,36323.0
AMC-32,5.0,1238.0,5537.0
AMC-33,9.0,2068.0,9250.0
AMC-35,43.0,10500.0,46964.0
AMC-36,15.0,7530.0,33680.0
AMC-37,32.0,4969.0,22225.0
AMC-38,3.0,338.0,1512.0
AMC-39,14.5,2825.0,12635.0
AMC-40,19.0,5322.0,23804.0
AMC-41,7.0,1083.0,4844.0
AMC-42,17.0,8952.0,40040.0
AMC-43,7.5,2532.0,11325.0
AMC-44,4.0,506.0,2263.0
AMC-45,11.0,1398.0,6253.0
AMC-46,27.0,6246.0,27937.0
AMC-47,27.0,3982.0,17810.0
AMC-48,11.0,2111.0,9442.0
