slum_code,zone_2010,ward_2010,slum_name,huts,page,ward_key
17,West,Ambawadi,Mehratbhai Na Chhapara,22,119,AMBAWADI
22,West,S.P. Stadium,Ashabhavan Na Chhapara,125,119,SPSTADIUM
33,West,Juna Vadaj,River Bank Na Chhapara,138,119,JUNAVADAJ
55,West,Paldi,B/H. NID Chhapara,34,119,PALDI
63,West,Navrangpura,Govindbhai Ni Chali,178,119,NAVRANGPURA
66,West,Paldi,Nadi Kinara Na Chhapara,510,119,PALDI
68,West,Paldi,P.T. College Chhapara,383,119,PALDI
69,West,Paldi,P.T. College Chhapara,11,119,PALDI
92,West,Sabarmati,Kailash Nagar Na Chhapara,542,119,SABARMATI
155,West,Ambawadi,Velabhai Ni Chali,42,119,AMBAWADI
931,West,Vasna,Paresh Na Chhapara,175,119,VASNA
214,South,Behrampura,Suburban Pumping Station Na Chhapara,35,119,BEHRAMPURA
313,South,Maninagar,Mirchhipir Na Chhapara,237,119,MANINAGAR
318,South,Maninagar,Sindhi Camp,57,119,MANINAGAR
275,Central,Khadia,Gautam Nagar,128,119,KHADIA
276,Central,Khadia,Gautam Nagar Na Chhapara,50,119,KHADIA
403,Central,Dudheshwar,Gaushala Na Chhapara,633,119,DUDHESHWAR
405,Central,Dudheshwar,Harijan Na Zupda,171,119,DUDHESHWAR
448,Central,Dudheshwar,Vanzara Na Zupda (Anwarnagar Ni Chali),146,119,DUDHESHWAR
473,Central,Giridharnagar,New Shorrock Mill Ni Chali,60,119,GIRIDHARNAGAR
509,Central,Raikhad,Dhobighat Na Zupda,17,119,RAIKHAD
510,Central,Raikhad,Haveli Na Chhapara,31,119,RAIKHAD
513,Central,Raikhad,Shrinath Chal,868,120,RAIKHAD
515,Central,Raikhad,Slum On River Bank (Maratha Wad),174,120,RAIKHAD
517,Central,Raikhad,Victoria Na Zupda,725,120,RAIKHAD
522,Central,Shahpur,Abdulkhan Ni Chali (Khari Vadi Chali),356,120,SHAHPUR
523,Central,Raikhad,Azadnagar,240,120,RAIKHAD
528,Central,Shahpur,Saiyed Na Chhapara (Mithan Sayed Na Chhapara),147,120,SHAHPUR
429,Central,Dudheshwar,Nathavbava Ni Chali,109,120,DUDHESHWAR
435,Central,Dudheshwar,Phoolghar Ni Chali,54,120,DUDHESHWAR
