ward_id,ward_name,zone,informal_housing_share,roof_sheet_share,outdoor_worker_share,historical_factor,capacity_factor,notes
AMC-01,Gota,North West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-02,Chandlodia,North West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-03,Chandkheda,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-04,Sabarmati,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-05,Ranip,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-06,New Wadaj,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-07,Ghatlodia,North West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-08,Thaltej,North West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-09,Naranpura,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-10,S.P.Stadium,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-11,Sardarnagar,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data. Check: detached from rest of North zone in boundary data"
AMC-12,Naroda,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-13,Saijpur Bogha,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-14,Kubernagr,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data. Check: detached from rest of North zone in boundary data"
AMC-15,Asarwa,Central,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-16,Shahibag,Central,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-17,Shahpur,Central,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-18,Navrangpura,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-19,Bodakdev,North West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-20,Jodhpur,South West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-21,Dariyapur,Central,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-22,India Colony,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-23,Thakkarbapanagar,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-24,Nikol,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
