ward_id,cooling_gap,cooling_gap_with_community,health_walk_km,cooling_desert
AMC-01,0.532,0.469,1.112,True
AMC-02,0.423,0.415,1.347,False
AMC-03,0.452,0.424,0.641,False
AMC-04,0.286,0.255,0.737,False
AMC-05,0.372,0.322,0.884,False
AMC-06,0.005,0.004,0.417,False
AMC-07,0.307,0.253,0.733,False
AMC-08,0.351,0.295,1.356,False
AMC-09,0.012,0.007,0.36,False
AMC-10,0.142,0.135,0.489,False
AMC-11,0.454,0.344,0.958,False
AMC-12,0.43,0.43,0.827,False
AMC-13,0.107,0.107,0.504,False
AMC-14,0.031,0.011,1.077,False
AMC-15,0.319,0.182,0.514,False
AMC-16,0.095,0.054,0.401,False
AMC-17,0.078,0.004,0.497,False
AMC-18,0.054,0.049,0.381,False
AMC-19,0.049,0.028,0.666,False
AMC-20,0.034,0.033,0.484,False
AMC-21,0.0,0.0,0.349,False
AMC-22,0.337,0.337,0.751,False
AMC-23,0.473,0.473,0.676,False
AMC-24,0.654,0.654,0.837,True
AMC-25,0.38,0.38,0.65,False
AMC-26,0.173,0.173,0.456,False
AMC-27,0.169,0.169,0.632,False
AMC-28,0.011,0.011,0.409,False
AMC-29,0.012,0.009,0.448,False
AMC-30,0.034,0.031,0.323,False
AMC-31,0.162,0.16,0.718,False
AMC-32,0.24,0.102,0.552,False
AMC-33,0.782,0.555,1.002,True
AMC-34,0.697,0.691,1.388,True
AMC-35,0.561,0.266,1.004,True
AMC-36,0.147,0.108,0.405,False
AMC-37,0.089,0.061,0.335,False
AMC-38,0.27,0.27,0.89,False
AMC-39,0.05,0.05,0.805,False
AMC-40,0.424,0.424,0.833,False
AMC-41,0.391,0.391,0.964,False
AMC-42,0.243,0.243,0.517,False
AMC-43,0.063,0.041,0.615,False
AMC-44,0.152,0.113,0.609,False
AMC-45,0.497,0.428,0.353,False
AMC-46,0.771,0.616,1.772,True
AMC-47,0.542,0.428,0.477,True
AMC-48,0.559,0.546,1.229,True
